%year	month	day	sea-air CO2 flux (mmol m^-2 d^-1)
2017	3	26	2.04
2017	3	27	0.62
2017	3	28	0.30
2017	3	29	0.32
2017	3	30	-0.04
2017	3	31	0.07
2017	4	2	0.21
2017	4	3	-0.02
2017	4	4	-0.04
2017	4	5	-0.11
2017	4	6	-0.13
2017	4	7	-0.24
2017	4	8	-0.56
2017	4	9	-0.75
2017	4	10	-1.42
2017	4	11	-0.14
2017	4	12	-0.12
2017	4	13	-0.47
2017	4	14	-1.48
2017	4	15	-2.50
2017	4	16	-0.76
2017	4	17	-0.23
2017	4	18	-3.49
2017	4	19	-3.83
2017	4	20	-2.59
2017	4	21	-1.42
2017	4	22	-1.71
2017	4	23	-5.00
2017	4	24	-1.86
2017	4	25	-1.91
2017	4	26	-1.29
2017	4	27	-12.92
2017	4	28	-7.75
2017	4	29	-5.07
2017	4	30	-3.12
2017	5	1	-2.05
2017	5	2	-1.27
2017	5	3	-0.66
2017	5	4	-0.05
2017	5	5	-1.39
2017	5	6	-1.36
2017	5	7	-1.78
2017	5	8	-0.26
2017	5	9	-0.32
2017	5	10	-0.42
2017	5	11	-1.52
2017	5	12	-3.54
2017	5	13	-1.87
2017	5	14	-1.76
2017	5	15	-0.42
2017	5	16	-12.46
2017	5	17	-1.58
2017	5	18	-0.86
2017	5	19	-0.80
2017	5	20	-0.92
2017	5	21	-0.51
2017	5	22	-0.37
2017	5	23	-0.99
2017	5	25	-0.22
2017	5	26	-0.24
2017	5	27	-0.19
2017	5	28	-0.16
2017	5	29	-0.50
2017	6	2	-7.55
2017	6	4	-6.23
2017	6	5	-1.50
2017	6	6	-0.55
2017	6	7	-0.27
2017	6	8	-0.96
2017	6	9	-1.96
2017	6	10	-1.76
2017	6	11	-3.48
2017	6	12	-3.60
2017	6	13	-2.75
2017	6	14	-1.60
2017	6	15	-5.26
2017	6	16	-0.79
2017	6	17	-1.26
2017	6	18	-2.20
2017	6	19	-0.28
2017	6	20	-4.18
2017	6	21	-7.77
2017	6	22	-2.40
2017	6	23	-0.57
2017	6	24	-0.73
2017	6	25	-0.22
2017	6	26	-1.42
2017	6	27	-26.09
2017	6	28	-5.41
2017	6	29	-0.62
2017	6	30	-0.48
2017	7	1	-1.67
2017	7	2	-1.69
2017	7	3	-6.50
2017	7	4	-1.66
2017	7	5	-0.35
2017	7	6	-0.44
2017	7	7	-0.20
2017	7	8	-1.71
2017	7	9	-4.20
2017	7	10	-3.66
2017	7	12	-2.03
2017	7	13	-1.86
2017	7	14	-0.89
2017	7	15	-2.37
2017	7	16	-4.23
2017	7	17	-2.12
2017	7	18	-0.90
2017	7	19	-1.43
2017	7	20	-1.49
2017	7	21	-0.48
2017	7	22	-3.87
2017	7	23	-2.96
2017	7	24	-2.63
2017	7	25	-0.71
2017	7	26	-0.27
2017	7	27	-0.61
2017	7	28	-0.55
2017	7	29	-0.79
2017	7	30	-0.51
2017	7	31	-0.97
2017	8	1	-1.15
2017	8	2	-0.76
2017	8	3	-1.11
2017	8	4	-1.23
2017	8	5	-0.10
2017	8	6	-0.04
2017	8	7	-0.02
2017	8	18	-15.58
2017	8	19	-4.27
2017	8	20	-1.73
2017	8	21	-0.39
2017	8	22	-0.47
2017	8	23	-0.35
2017	8	24	-1.30
2017	8	25	-1.30
2017	8	26	-0.49
2017	8	27	-1.45
2017	8	28	-0.78
2017	8	29	-0.24
2017	8	30	-1.14
2017	8	31	-0.63
2017	9	1	-0.63
2017	9	2	-0.23
2017	9	3	-0.84
2017	9	4	-1.30
2017	9	5	-0.32
2017	9	6	-0.20
2017	9	7	-0.70
2017	9	8	-0.30
2017	9	9	-1.15
2017	9	10	-0.30
2017	9	11	-0.46
2017	9	12	-5.88
2017	9	13	-2.56
2017	9	14	-1.52
2017	9	15	-0.46
2017	9	16	-0.51
2017	9	17	-3.43
2017	9	18	-1.56
2017	9	19	-0.29
2017	9	20	-0.86
2017	9	21	-1.02
2017	9	22	-0.56
2017	9	23	-0.45
2017	9	24	-0.17
2017	9	25	-0.19
2017	9	26	-0.07
2017	9	27	-0.07
2017	9	28	-0.07
2017	9	29	-0.17
2017	9	30	-0.43
2017	10	1	-2.80
2017	10	2	-2.09
2017	10	3	-0.67
2017	10	4	-0.05
2017	10	5	-0.01
2017	10	6	-0.14
2017	10	7	-0.29
2017	10	8	-1.27
2017	10	9	-0.18
2017	10	10	-0.93
2017	10	11	-0.37
2017	10	12	-0.05
2017	10	13	-0.68
2017	10	14	-0.53
2017	10	15	-0.92
2017	10	16	0.15
2017	10	17	1.53
2017	10	18	6.94
2017	10	19	1.31
2017	10	20	0.69
2017	10	21	13.96
2017	10	22	1.69
2017	10	23	0.16
2017	10	24	0.22
2017	10	25	3.03
2017	10	26	0.32
2017	10	27	0.30
2017	10	28	0.12
2017	10	29	0.52
2017	10	30	0.12
2017	11	3	1.58
2017	11	4	2.40
2017	11	5	4.18
2017	11	6	2.69
2017	11	7	23.71
2017	11	8	0.95
2017	11	9	0.42
2017	11	10	0.17
2017	11	11	2.02
2017	11	12	4.00
2017	11	13	14.33
2017	11	14	4.78
2017	11	15	3.84
2017	11	16	2.25
2017	11	17	0.65
2017	11	18	9.84
2017	11	19	6.25
2017	11	20	0.75
2017	11	21	2.81
2017	11	22	0.63
2017	11	23	0.64
2017	11	24	1.60
2017	11	25	4.14
2017	11	26	4.34
2017	11	27	1.28
2017	11	28	19.58
