agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	12s	7s	6s	21s	15s
USGS	12052390	67	2005-08-25 12:52:00	PDT	Yes	RES	USGS	3.70	16.1	Good	0.00	0.60	Clear	MEAS
USGS	12052390	68	2005-10-06 14:08:00	PDT	Yes	RES	USGS	3.68	15.3	Good	0.00	0.60	DebrisLight	MEAS
USGS	12052390	69	2006-02-23 13:49:00	PST	Yes	RES	USGS	4.36	87.1	Good	-0.01	0.70	Clear	MEAS
USGS	12052390	70	2006-03-31 12:34:00	PST	Yes	RES	USGS	4.63	141	Good	0.00	0.70	Clear	MEAS
USGS	12052390	71	2006-05-25 11:16:00	PDT	Yes	RES	USGS	5.12	260	Fair	-0.01	0.60	Clear	MEAS
USGS	12052390	72	2006-07-26 12:15:00	PDT	Yes	RES	USGS	4.14	57.3	Good	0.00	0.60	Clear	MEAS
USGS	12052390	73	2006-10-04 15:05:00	PDT	Yes	RES	USGS	3.72	21.0	Good	0.00	0.60	Clear	MEAS
USGS	12052390	74	2006-11-20 12:55:00	PST	Yes	RES	USGS	5.34	365	Fair	0.00	0.60	Clear	MEAS
USGS	12052390	75	2006-12-06 15:45:00	PST	Yes	RES	USGS	4.60	133	Good	0.01	0.50	Clear	MEAS
USGS	12052390	76	2007-02-06 12:07:00	PST	Yes	RES	USGS	4.23	62.4	Good	0.00	0.50	Clear	MEAS
USGS	12052390	77	2007-04-17 15:33:00	PDT	Yes	RES	USGS	4.21	65.9	Fair	-0.01	0.60	Clear	MEAS
USGS	12052390	78	2007-06-06 11:55:00	PDT	Yes	RES	USGS	4.53	123	Good	-0.01	0.50	Clear	MEAS
USGS	12052390	79	2007-08-08 12:19:00	PDT	Yes	RES	USGS	3.89	30.5	Good	0.00	0.60	Clear	MEAS
USGS	12052390	80	2007-10-05 10:44:00	PDT	Yes	RES	USGS	3.68	19.5	Fair	0.01	0.60	Clear	MEAS
USGS	12052390	81	2008-01-10 13:36:00	PST	Yes	RES	USGS	4.88	166	Good	0.00	0.60	Clear	MEAS
USGS	12052390	82	2008-04-09 16:04:00	PDT	Yes	RES	USGS	4.21	51.9	Fair	0.00	0.50	Clear	MEAS
USGS	12052390	83	2008-06-09 13:18:00	PDT	Yes	RES	USGS	4.80	157	Good	0.00	0.60	Clear	MEAS
USGS	12052390	84	2008-08-04 16:17:00	PDT	Yes	RES	USGS	4.00	40.7	Good	0.00	0.50	Clear	UNSP
USGS	12052390	85	2008-10-08 17:16:00	PDT	Yes	RES	USGS	4.05	40.9	Good	0.00	0.50	Clear	UNSP
USGS	12052390	86	2008-12-10 12:38:00	PST	Yes	RES	USGS	3.78	23.2	Fair	0.01	0.70	Clear	UNSP
USGS	12052390	87	2009-01-20 15:57:00	PST	Yes	RES	USGS	4.51	104	Fair	0.00	0.50	Clear	UNSP
USGS	12052390	88	2009-03-26 12:13:00	PDT	Yes	RES	USGS	4.25	57.9	Fair	0.00	0.50	Unspecifed	UNSP
USGS	12052390	89	2009-05-15 10:53:00	PDT	Yes	RES	USGS	4.57	119	Fair	0.00	0.40	Clear	UNSP
USGS	12052390	90	2009-07-16 09:29:00	PDT	Yes	RES	USGS	3.89	26.8	Fair	0.00	0.50	Clear	UNSP
USGS	12052390	91	2009-10-08 16:13:00	PDT	Yes	RES	USGS	3.62	16.6	Fair	0.00	0.50	Clear	UNSP
USGS	12052390	92	2010-01-27 13:52:00	PST	Yes	RES	USGS	5.38	291	Fair	0.00	0.80	Clear	UNSP
USGS	12052390	93	2010-02-10 15:31:30	PST	Yes	RES	USGS	4.62	133	Fair	0.00	0.50	Clear	UNSP
USGS	12052390	94	2010-06-24 09:15:00	PDT	Yes	RES	USGS	5.02	224	Fair	0.00	0.70	Clear	UNSP
USGS	12052390	95	2010-09-09 15:49:00	PDT	Yes	RES	USGS	3.98	39.5	Fair	-0.01	0.50	Clear	UNSP
USGS	12052390	96	2010-10-20 15:21:30	PDT	Yes	RES	USGS	3.70	19.6	Fair	0.00	0.50	Clear	UNSP
USGS	12052390	97	2011-04-14 14:14:00	PDT	Yes	RES	USGS	4.62	116	Fair	0.02	0.70	Clear	UNSP
USGS	12052390	98	2011-09-14 17:18:30	PDT	Yes	RES	USGS	3.98	46.8	Fair	0.00	0.50	Clear	UNSP
USGS	12052390	99	2011-11-16 15:04:30	PST	Yes	RES	USGS	3.88	31.6	Fair	0.00	0.60	Clear	UNSP
USGS	12052390	100	2012-02-09 09:54:00	PST	Yes	RES	USGS	4.49	89.2	Fair	0.00	0.60	Clear	UNSP
USGS	12052390	101	2012-05-10 13:46:00	PDT	Yes	RES	USGS	5.24	215	Fair	0.00	0.60	Unspecifed	UNSP
USGS	12052390	102	2012-07-19 10:36:30	PDT	Yes	RES	USGS	4.70	126	Fair	0.00	0.60	Clear	UNSP
USGS	12052390	103	2012-10-17 15:42:00	PDT	Yes	RES	USGS	3.61	21.0	Poor	0.01	0.50	Clear	UNSP
USGS	12052390	104	2013-01-16 12:16:00	PST	Yes	RES	USGS	4.66	92.3	Fair	0.00	0.60	Clear	MEAS
USGS	12052390	105	2013-04-10 16:32:00	PDT	Yes	RES	USGS	5.30	195	Fair	0.02	0.60	Clear	MEAS
USGS	12052390	106	2013-06-12 12:32:30	PDT	Yes	RES	USGS	4.82	113	Fair	-0.04	0.70	Clear	MEAS
USGS	12052390	107	2013-08-14 15:54:30	PDT	Yes	RES	USGS	4.06	33.0	Fair	0.01	0.50	Clear	MEAS
USGS	12052390	108	2013-11-15 11:02:00	PST	Yes	RES	USGS	3.98	35.7	Fair			Clear	MEAS
USGS	12052390	109	2014-02-06 15:38:30	PST	Yes	RES	USGS	3.88	26.6	Fair				MEAS
USGS	12052390	110	2014-04-17 12:02:00	PDT	Yes	RES	USGS	4.67	92.4	Fair	-0.02	0.60	Clear	MEAS
USGS	12052390	111	2014-06-12 17:47:00	PDT	Yes	RES	USGS	4.62	82.2	Fair	0.01	67.00		MEAS
USGS	12052390	112	2014-08-14 15:43:30	PDT	Yes	RES	USGS	4.27	41.8	Fair	-0.02	0.70	Clear	MEAS
USGS	12052390	113	2014-09-25 13:38:00	PDT	Yes	RES	USGS	3.78	24.0	Fair	0.00	0.80	Clear	MEAS
